CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
43220,,,"Shelton, WA",Micropolitan Statistical Area,65726,66028,67615,302,1587,179,644,199,832,-20,-188,2,59,324,1737,326,1796,-4,-21
43260,,,"Sheridan, WY",Micropolitan Statistical Area,30921,30996,31646,75,650,87,307,83,377,4,-70,2,20,70,709,72,729,-1,-9
43320,,,"Show Low, AZ",Micropolitan Statistical Area,106717,106802,108147,85,1345,365,1273,415,1482,-50,-209,4,21,135,1535,139,1556,-4,-2
43380,,,"Sidney, OH",Micropolitan Statistical Area,48230,48119,47977,-111,-142,179,567,184,585,-5,-18,0,10,-106,-141,-106,-131,0,7
43460,,,"Sikeston, MO",Micropolitan Statistical Area,38059,38009,37840,-50,-169,130,466,146,558,-16,-92,0,-1,-31,-83,-31,-84,-3,7
43500,,,"Silver City, NM",Micropolitan Statistical Area,28185,28209,27889,24,-320,76,230,97,400,-21,-170,0,2,51,-149,51,-147,-6,-3
43660,,,"Snyder, TX",Micropolitan Statistical Area,16932,16931,16824,-1,-107,52,193,49,192,3,1,0,8,-5,-117,-5,-109,1,1
43700,,,"Somerset, KY",Micropolitan Statistical Area,65034,65016,65423,-18,407,163,684,270,1003,-107,-319,0,-1,92,728,92,727,-3,-1
43740,,,"Somerset, PA",Micropolitan Statistical Area,74129,73917,73627,-212,-290,162,574,304,1111,-142,-537,0,0,-63,240,-63,240,-7,7
43760,,,"Sonora, CA",Micropolitan Statistical Area,55620,55516,55810,-104,294,101,424,200,694,-99,-270,0,10,5,558,5,568,-10,-4
43940,,,"Spearfish, SD",Micropolitan Statistical Area,25768,25812,26165,44,353,58,208,76,267,-18,-59,-1,36,64,379,63,415,-1,-3
43980,,,"Spencer, IA",Micropolitan Statistical Area,16384,16333,16440,-51,107,36,169,54,197,-18,-28,0,6,-32,129,-32,135,-1,0
44020,,,"Spirit Lake, IA",Micropolitan Statistical Area,17703,17747,17851,44,104,37,163,63,212,-26,-49,0,8,72,147,72,155,-2,-2
44260,,,"Starkville, MS",Micropolitan Statistical Area,61714,61631,61825,-83,194,151,612,119,603,32,9,1,48,-118,124,-117,172,2,13
44340,,,"Statesboro, GA",Micropolitan Statistical Area,81099,81378,82442,279,1064,213,835,136,724,77,111,1,42,195,905,196,947,6,6
44460,,,"Steamboat Springs, CO",Micropolitan Statistical Area,24829,24839,25091,10,252,57,183,24,139,33,44,0,11,-23,196,-23,207,0,1
44500,,,"Stephenville, TX",Micropolitan Statistical Area,42545,42715,43378,170,663,108,454,86,422,22,32,-1,0,148,633,147,633,1,-2
44540,,,"Sterling, CO",Micropolitan Statistical Area,21528,21495,21487,-33,-8,58,219,79,276,-21,-57,0,4,-12,41,-12,45,0,4
44580,,,"Sterling, IL",Micropolitan Statistical Area,55691,55509,55305,-182,-204,132,598,185,770,-53,-172,0,12,-126,-51,-126,-39,-3,7
44620,,,"Stevens Point, WI",Micropolitan Statistical Area,70377,70378,70468,1,90,158,600,152,620,6,-20,-1,43,-3,56,-4,99,-1,11
44660,,,"Stillwater, OK",Micropolitan Statistical Area,81646,81592,81989,-54,397,187,757,171,786,16,-29,5,139,-79,269,-74,408,4,18
44740,,,"Storm Lake, IA",Micropolitan Statistical Area,20823,20776,20771,-47,-5,60,302,70,175,-10,127,0,72,-37,-205,-37,-133,0,1
44780,,,"Sturgis, MI",Micropolitan Statistical Area,60939,60902,60758,-37,-144,190,694,193,779,-3,-85,1,17,-34,-88,-33,-71,-1,12
44860,,,"Sulphur Springs, TX",Micropolitan Statistical Area,36787,36795,37211,8,416,108,435,116,510,-8,-75,0,8,18,486,18,494,-2,-3
44900,,,"Summerville, GA",Micropolitan Statistical Area,24965,24921,24932,-44,11,57,285,98,350,-41,-65,0,4,-1,69,-1,73,-2,3
44980,,,"Sunbury, PA",Micropolitan Statistical Area,91647,91471,91266,-176,-205,216,875,347,1309,-131,-434,1,12,-39,205,-38,217,-7,12
45000,,,"Susanville, CA",Micropolitan Statistical Area,32730,32719,33159,-11,440,92,292,63,242,29,50,0,1,-39,389,-39,390,-1,0
45020,,,"Sweetwater, TX",Micropolitan Statistical Area,14738,14721,14597,-17,-124,46,186,49,229,-3,-43,0,17,-14,-99,-14,-82,0,1
45140,,,"Tahlequah, OK",Micropolitan Statistical Area,47078,47081,47627,3,546,137,541,161,598,-24,-57,-1,16,30,584,29,600,-2,3
45180,,,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,82149,82069,81524,-80,-545,204,831,292,1249,-88,-418,-1,11,13,-153,12,-142,-4,15
45340,,,"Taos, NM",Micropolitan Statistical Area,34489,34392,34623,-97,231,55,234,124,400,-69,-166,-1,-2,-21,402,-22,400,-6,-3
45380,,,"Taylorville, IL",Micropolitan Statistical Area,34032,33900,33662,-132,-238,76,343,127,505,-51,-162,0,2,-80,-82,-80,-80,-1,4
45520,,,"The Dalles, OR",Micropolitan Statistical Area,26670,26611,26726,-59,115,74,267,103,331,-29,-64,0,1,-28,177,-28,178,-2,1
45580,,,"Thomaston, GA",Micropolitan Statistical Area,27700,27712,27720,12,8,69,306,124,471,-55,-165,3,1,65,169,68,170,-1,3
45620,,,"Thomasville, GA",Micropolitan Statistical Area,45798,45766,45842,-32,76,109,538,138,608,-29,-70,0,-2,-1,142,-1,140,-2,6
45660,,,"Tiffin, OH",Micropolitan Statistical Area,55069,54990,54906,-79,-84,143,570,197,683,-54,-113,-1,15,-22,5,-23,20,-2,9
45700,,,"Tifton, GA",Micropolitan Statistical Area,41344,41348,41212,4,-136,130,518,122,464,8,54,-1,-5,-3,-188,-4,-193,0,3
45740,,,"Toccoa, GA",Micropolitan Statistical Area,26784,26800,26865,16,65,62,300,85,413,-23,-113,-1,3,40,174,39,177,0,1
45860,,,"Torrington, CT",Micropolitan Statistical Area,185186,184874,185000,-312,126,339,1331,538,2254,-199,-923,1,81,-98,959,-97,1040,-16,9
45900,,,"Traverse City, MI",Micropolitan Statistical Area,153448,153516,154685,68,1169,300,1301,461,1869,-161,-568,0,23,242,1722,242,1745,-13,-8
45980,,,"Troy, AL",Micropolitan Statistical Area,33009,32981,32991,-28,10,83,365,81,386,2,-21,1,31,-31,-7,-30,24,0,7
46020,,,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,102241,102199,103487,-42,1288,203,783,297,1135,-94,-352,0,-4,67,1670,67,1666,-15,-26
46100,,,"Tullahoma-Manchester, TN",Micropolitan Statistical Area,107124,107340,108891,216,1551,292,1162,389,1515,-97,-353,5,37,311,1881,316,1918,-3,-14
46180,,,"Tupelo, MS",Micropolitan Statistical Area,163398,163193,163162,-205,-31,452,1962,592,2166,-140,-204,1,51,-67,96,-66,147,1,26
46380,,,"Ukiah, CA",Micropolitan Statistical Area,91601,91354,91305,-247,-49,204,869,243,1037,-39,-168,-1,8,-198,102,-199,110,-9,9
46420,,,"Union, SC",Micropolitan Statistical Area,27244,27148,27016,-96,-132,53,268,122,443,-69,-175,0,1,-25,36,-25,37,-2,6
46460,,,"Union City, TN",Micropolitan Statistical Area,30787,30716,30466,-71,-250,62,323,121,519,-59,-196,0,6,-10,-65,-10,-59,-2,5
46500,,,"Urbana, OH",Micropolitan Statistical Area,38714,38705,38699,-9,-6,111,377,136,517,-25,-140,0,1,19,127,19,128,-3,6
46620,,,"Uvalde, TX",Micropolitan Statistical Area,24564,24540,24729,-24,189,97,391,83,364,14,27,0,1,-37,158,-37,159,-1,3
46780,,,"Van Wert, OH",Micropolitan Statistical Area,28931,28878,28732,-53,-146,74,326,101,378,-27,-52,2,3,-27,-100,-25,-97,-1,3
46820,,,"Vermillion, SD",Micropolitan Statistical Area,14967,14998,15150,31,152,35,118,27,106,8,12,0,12,22,127,22,139,1,1
46860,,,"Vernal, UT",Micropolitan Statistical Area,35620,35618,36204,-2,586,126,525,94,283,32,242,0,10,-37,330,-37,340,3,4
46900,,,"Vernon, TX",Micropolitan Statistical Area,12887,12846,12731,-41,-115,40,159,40,177,0,-18,0,4,-41,-102,-41,-98,0,1
46980,,,"Vicksburg, MS",Micropolitan Statistical Area,44722,44548,43579,-174,-969,130,534,133,580,-3,-46,-1,17,-171,-928,-172,-911,1,-12
47080,,,"Vidalia, GA",Micropolitan Statistical Area,35640,35629,35564,-11,-65,129,455,136,513,-7,-58,0,3,-3,-15,-3,-12,-1,5
47180,,,"Vincennes, IN",Micropolitan Statistical Area,36282,36244,35956,-38,-288,101,391,118,531,-17,-140,0,8,-20,-159,-20,-151,-1,3
47240,,,"Vineyard Haven, MA",Micropolitan Statistical Area,20600,20581,21097,-19,516,43,182,45,167,-2,15,1,16,-15,489,-14,505,-3,-4
47340,,,"Wabash, IN",Micropolitan Statistical Area,30976,30888,30816,-88,-72,86,310,139,560,-53,-250,0,3,-33,174,-33,177,-2,1
47420,,,"Wahpeton, ND-MN",Micropolitan Statistical Area,23035,23005,22955,-30,-50,63,220,53,260,10,-40,0,-2,-40,-10,-40,-12,0,2
47540,,,"Wapakoneta, OH",Micropolitan Statistical Area,46422,46411,46141,-11,-270,131,504,159,617,-28,-113,0,1,19,-166,19,-165,-2,8
47620,,,"Warren, PA",Micropolitan Statistical Area,38587,38480,38134,-107,-346,84,372,162,584,-78,-212,0,3,-25,-140,-25,-137,-4,3
47660,,,"Warrensburg, MO",Micropolitan Statistical Area,54013,54002,54150,-11,148,153,672,107,505,46,167,6,9,-65,-41,-59,-32,2,13
47700,,,"Warsaw, IN",Micropolitan Statistical Area,80240,80050,80106,-190,56,249,901,247,898,2,3,0,58,-191,-20,-191,38,-1,15
47780,,,"Washington, IN",Micropolitan Statistical Area,33381,33391,33397,10,6,146,554,92,399,54,155,0,6,-44,-161,-44,-155,0,6
47820,,,"Washington, NC",Micropolitan Statistical Area,44652,44618,44468,-34,-150,119,412,191,705,-72,-293,0,6,43,133,43,139,-5,4
47920,,,"Washington Court House, OH",Micropolitan Statistical Area,28951,28939,28906,-12,-33,84,299,121,362,-37,-63,0,6,26,22,26,28,-1,2
47980,,,"Watertown, SD",Micropolitan Statistical Area,34489,34476,34682,-13,206,104,417,100,406,4,11,2,23,-18,167,-16,190,-1,5
48020,,,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,84900,84858,84943,-42,85,203,777,225,902,-22,-125,0,13,-17,182,-17,195,-3,15
